sigma_v_mV_RMS,sigma_i_mA_RMS,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status,noise_type
2,1,14,9.78685839656028e-05,0.0491800584169417,0.000100063462830917,0.0634628309174712,0.0503702181544107,0.740436308821324,0,PASS,analog_only
2,1,15,9.73841820163089e-05,0.0508177336069557,9.98201682293344e-05,0.179831770665573,0.0497141446143365,0.571710771326905,0,PASS,analog_only
2,1,16,9.8449221478177e-05,0.0491207099307927,9.97607914788124e-05,0.239208521187628,0.0497875910352258,0.42481792954836,0,PASS,analog_only
2,1,17,9.75797068780247e-05,0.0492811777167097,9.98903878632969e-05,0.109612136703152,0.0498383012070485,0.323397585903051,0,PASS,analog_only
2,1,18,0.000101975197965028,0.0489926027926638,0.000100144214188737,0.144214188737202,0.0500896930267056,0.179386053411146,0.0067567567567568,PASS,analog_only
2,1,19,0.000101868662345179,0.049427755210678,9.96891541010085e-05,0.31084589899153,0.0500587149857385,0.117429971477034,0,PASS,analog_only
2,1,20,9.82006519063603e-05,0.0494728205110792,0.000100152541746144,0.152541746143608,0.0500690789569703,0.138157913940606,0,PASS,analog_only
5,2,1,9.73762447934116e-05,0.0482549840739632,0.000100059011475559,0.05901147555889,0.0495657610852532,0.868477829493575,0.0067567567567568,PASS,analog_only
5,2,2,9.64877794567526e-05,0.0484134686734763,9.96067816216232e-05,0.393218378376847,0.0500818729942465,0.163745988492936,0.0135135135135135,PASS,analog_only
5,2,3,9.40962126035111e-05,0.0455290174666007,9.96332573443771e-05,0.366742655622865,0.0501921134998433,0.38422699968661,0.0135135135135135,PASS,analog_only
5,2,4,0.000105534958250537,0.0525896754867146,0.000100026753040947,0.0267530409469696,0.0495362321135558,0.927535772888344,0.0135135135135135,PASS,analog_only
5,2,5,9.66697895140692e-05,0.0518180997990356,0.000100129981323773,0.129981323773154,0.0500766515482883,0.153303096576662,0.0135135135135135,PASS,analog_only
5,2,6,0.000105139141044218,0.0542364083644577,9.99911330679402e-05,0.00886693205983669,0.0498805828695782,0.23883426084369,0.0067567567567568,PASS,analog_only
5,2,7,0.000107137196432821,0.048131890881615,0.000101363356198652,1.36335619865167,0.0499595471130114,0.0809057739772467,0,PASS,analog_only
5,2,8,0.000102245679206466,0.0514420605064805,0.000100789077362668,0.789077362667689,0.0499658128277076,0.0683743445847429,0.0067567567567568,PASS,analog_only
5,2,9,9.73663691988205e-05,0.05212016396199,0.000100220184109042,0.220184109041632,0.0503353211412887,0.670642282577316,0.0067567567567568,PASS,analog_only
5,2,10,0.000105773593197799,0.048277814442773,0.000100566862032597,0.56686203259706,0.0503320667276569,0.664133455313731,0.0202702702702703,PASS,analog_only
5,2,11,0.000105211458475666,0.0481159621535526,9.97969261553701e-05,0.203073844629897,0.0500622943574908,0.124588714981644,0.0067567567567568,PASS,analog_only
5,2,12,9.78379753529314e-05,0.048352704966794,9.99704844779714e-05,0.0295155220285892,0.0498756600693003,0.248679861399381,0.0067567567567568,PASS,analog_only
5,2,13,9.27903452778287e-05,0.0455245990097552,9.94734247496486e-05,0.526575250351446,0.0502124120828644,0.42482416572871,0.0067567567567568,PASS,analog_only
5,2,14,9.5153520316728e-05,0.0477998034636012,0.000100251292642213,0.251292642212841,0.0506812704779767,1.36254095595334,0.0135135135135135,PASS,analog_only
5,2,15,9.38697624075428e-05,0.051968633509313,9.95598130710657e-05,0.440186928934316,0.0495423917084734,0.915216583053213,0.0067567567567568,PASS,analog_only
