voltage_architecture,architecture_name,ADC_mode,nominal_bits,ENOB,fs_adc_Hz,operating_case,C_F,ESR_Ohm,LSB_edge_plant_V,LSB_C_plant_V,ESR_edge_codes,C_charge_window_codes,RMS_noise_codes,ESR_code_risk,C_code_risk,edge_plant_span_V,C_plant_span_V,vT_baseline_V,separate_edge_channel
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,0.0001,0.05,0.0061038881767686,0.0061038881767686,5.23329739793337,4.4239952275263,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,0.0001,0.075,0.0061038881767686,0.0061038881767686,7.84994609690006,4.4239952275263,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,0.0001,0.1,0.0061038881767686,0.0061038881767686,10.4665947958667,4.4239952275263,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,8e-05,0.05,0.0061038881767686,0.0061038881767686,20.0568757108506,21.3958058028903,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,8e-05,0.075,0.0061038881767686,0.0061038881767686,30.0853135662759,21.3958058028903,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,8e-05,0.1,0.0061038881767686,0.0061038881767686,40.1137514217011,21.3958058028903,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,9e-05,0.05,0.0061038881767686,0.0061038881767686,20.0568757108506,19.0184940470136,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,9e-05,0.075,0.0061038881767686,0.0061038881767686,30.0853135662759,19.0184940470136,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,9e-05,0.1,0.0061038881767686,0.0061038881767686,40.1137514217011,19.0184940470136,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,0.0001,0.05,0.0061038881767686,0.0061038881767686,20.0568757108506,17.1166446423122,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,0.0001,0.075,0.0061038881767686,0.0061038881767686,30.0853135662759,17.1166446423122,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,nominal,0.0001,0.1,0.0061038881767686,0.0061038881767686,40.1137514217011,17.1166446423122,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,8e-05,0.05,0.0061038881767686,0.0061038881767686,41.9996190843102,45.0741366855027,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,8e-05,0.075,0.0061038881767686,0.0061038881767686,62.9994286264653,45.0741366855027,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,8e-05,0.1,0.0061038881767686,0.0061038881767686,83.9992381686204,45.0741366855027,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,9e-05,0.05,0.0061038881767686,0.0061038881767686,41.9996190843102,40.0658992760024,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,9e-05,0.075,0.0061038881767686,0.0061038881767686,62.9994286264653,40.0658992760024,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,9e-05,0.1,0.0061038881767686,0.0061038881767686,83.9992381686204,40.0658992760024,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,0.0001,0.05,0.0061038881767686,0.0061038881767686,41.9996190843102,36.0593093484021,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,high_load,0.0001,0.075,0.0061038881767686,0.0061038881767686,62.9994286264653,36.0593093484021,1.15470053837925,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
