cycle,time_s,C_OFF_F,C_ON_F,Q_OFF_C,Q_ON_C,C_true_F,ESR_true_Ohm
160,0.01916,9.99999985790869e-05,9.9999998083585e-05,1.30304240320919e-05,1.31328451950432e-05,0.0001,0.05
161,0.01918,9.99999985779504e-05,9.99999980832469e-05,1.30852666039574e-05,1.31810663252749e-05,0.0001,0.05
162,0.0192,9.99999985783877e-05,9.99999980830473e-05,1.31736134593538e-05,1.3046328771184e-05,0.0001,0.05
163,0.01922,9.99999985791965e-05,9.99999980832271e-05,1.31323106324024e-05,1.30292296572365e-05,0.0001,0.05
164,0.01924,9.99999985785452e-05,9.99999980831982e-05,1.30581971565591e-05,1.3194019912932e-05,0.0001,0.05
165,0.01926,9.99999985774679e-05,9.99999980829038e-05,1.31130949197222e-05,1.32408911321968e-05,0.0001,0.05
166,0.01928,9.99999985778641e-05,9.99999980827179e-05,1.32018201027602e-05,1.31039508398178e-05,0.0001,0.05
167,0.0193,9.99999985786444e-05,9.99999980829134e-05,1.3160744409629e-05,1.30852560089814e-05,0.0001,0.05
168,0.01932,9.99999985779842e-05,9.99999980829403e-05,1.30866948441492e-05,1.32490009718368e-05,0.0001,0.05
169,0.01934,9.99999985769351e-05,9.99999980826472e-05,1.31419642587898e-05,1.32940093812443e-05,0.0001,0.05
170,0.01936,9.99999985772742e-05,9.99999980825386e-05,1.32313737694581e-05,1.31544672396659e-05,0.0001,0.05
171,0.01938,9.99999985780693e-05,9.99999980827105e-05,1.3190798419047e-05,1.31337193141774e-05,0.0001,0.05
172,0.0194,9.99999985788129e-05,9.99999980829365e-05,1.31500771041386e-05,1.31126112949269e-05,0.0001,0.05
173,0.01942,9.99999985781313e-05,9.99999980829348e-05,1.30765706762158e-05,1.32741627479854e-05,0.0001,0.05
174,0.01944,9.99999985770376e-05,9.99999980827574e-05,1.31323882888924e-05,1.3316563027265e-05,0.0001,0.05
175,0.01946,9.99999985774372e-05,9.99999980826585e-05,1.32223598799199e-05,1.3174106546192e-05,0.0001,0.05
176,0.01948,9.9999998578137e-05,9.99999980828651e-05,1.31825073715622e-05,1.31506602271453e-05,0.0001,0.05
177,0.0195,9.99999985774819e-05,9.99999980829496e-05,1.31096008657569e-05,1.33102487643948e-05,0.0001,0.05
178,0.01952,9.99999985763468e-05,9.99999980827156e-05,1.31662890569284e-05,1.33501575075248e-05,0.0001,0.05
179,0.01954,9.99999985767291e-05,9.99999980826683e-05,1.32574209134325e-05,1.32047875550856e-05,0.0001,0.05
180,0.01956,9.9999998577463e-05,9.99999980828869e-05,1.32184302361597e-05,1.31788036457217e-05,0.0001,0.05
181,0.01958,9.99999985767459e-05,9.99999980829799e-05,1.3146049268711e-05,1.33361388140475e-05,0.0001,0.05
182,0.0196,9.9999998575637e-05,9.9999998082784e-05,1.32035242050666e-05,1.33734260366933e-05,0.0001,0.05
183,0.01962,9.99999985759775e-05,9.99999980827433e-05,1.32957203723748e-05,1.32251775120673e-05,0.0001,0.05
184,0.01964,9.99999985767217e-05,9.99999980829951e-05,1.32574282550687e-05,1.3196598313482e-05,0.0001,0.05
185,0.01966,9.99999985760268e-05,9.9999998083101e-05,1.31853478798371e-05,1.33515285798375e-05,0.0001,0.05
186,0.01968,9.99999985749068e-05,9.99999980828768e-05,1.32433734670361e-05,1.33862088608916e-05,0.0001,0.05
187,0.0197,9.99999985752212e-05,9.99999980829199e-05,1.3336379754285e-05,1.32352600241227e-05,0.0001,0.05
188,0.01972,9.99999985759093e-05,9.9999998083168e-05,1.32984729641934e-05,1.32041675803571e-05,0.0001,0.05
189,0.01974,9.99999985766597e-05,9.99999980834806e-05,1.32602949620202e-05,1.31726879511903e-05,0.0001,0.05
190,0.01976,9.99999985759752e-05,9.99999980836018e-05,1.31882228665596e-05,1.33244660145629e-05,0.0001,0.05
191,0.01978,9.99999985748374e-05,9.99999980834443e-05,1.32461916609324e-05,1.33563993790973e-05,0.0001,0.05
192,0.0198,9.99999985751837e-05,9.99999980834089e-05,1.33390672763271e-05,1.32032176242876e-05,0.0001,0.05
193,0.01982,9.99999985758959e-05,9.99999980836837e-05,1.33009023573947e-05,1.31696295677474e-05,0.0001,0.05
194,0.01984,9.99999985752307e-05,9.99999980838449e-05,1.32283780441622e-05,1.33193020419554e-05,0.0001,0.05
195,0.01986,9.99999985741487e-05,9.99999980836669e-05,1.32861022243459e-05,1.33492520045371e-05,0.0001,0.05
196,0.01988,9.9999998574526e-05,9.99999980836884e-05,1.33789280345504e-05,1.31942868193762e-05,0.0001,0.05
197,0.0199,9.99999985751998e-05,9.99999980839656e-05,1.33402341760173e-05,1.31589090902051e-05,0.0001,0.05
198,0.01992,9.99999985745938e-05,9.99999980841081e-05,1.32667158859376e-05,1.33067260123606e-05,0.0001,0.05
199,0.01994,9.99999985734989e-05,9.99999980839603e-05,1.33236306844245e-05,1.33350593452794e-05,0.0001,0.05
200,0.01996,9.99999985739034e-05,9.99999980839262e-05,1.3415802733776e-05,1.3178775474771e-05,0.0001,0.05
