scenario,seed,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,sigma_C_F,sigma_ESR_Ohm,NEES_full,NEES_param,CI_C_contains_true,CI_ESR_contains_true,accuracy_pass
nominal,14,9.97105519180246e-05,0.0501664044193764,0.289448081975374,0.332808838752707,8.7308916524487e-07,0.000311783924363526,0.925171342557224,0.903222458273876,1,1,1
nominal,15,0.000100099353695237,0.0499005997703006,0.0993536952371032,0.198800459398862,8.79923903431382e-07,0.000308897178275059,0.308061634096554,0.276220072993917,1,1,1
nominal,16,9.99240201805836e-05,0.0498456287764104,0.0759798194164274,0.308742447179156,8.7683965541592e-07,0.000309515569157389,0.527864963013937,0.477613117086191,1,1,1
nominal,17,0.000100581233957445,0.049870096688174,0.581233957445093,0.259806623651948,8.88398357284726e-07,0.000311708802070419,0.398600500524353,0.353941556831,1,1,1
nominal,18,9.94713578105007e-05,0.0497607684182877,0.528642189499284,0.478463163424603,8.68906549718114e-07,0.000311059526227339,1.2052260913169,1.17458605627465,1,1,1
nominal,19,9.99068839567896e-05,0.0499674206850547,0.0931160432103728,0.0651586298905937,8.76520329470667e-07,0.000311432012692318,0.740296984336051,0.722152341496873,1,1,1
nominal,20,9.97236830824984e-05,0.0498184899055531,0.276316917501618,0.363020188893892,8.73321791496878e-07,0.000309776071416882,0.315346549275763,0.285547293750909,1,1,1
nominal,21,0.000100971839598046,0.049947107870374,0.971839598045965,0.105784259252029,8.95318059239974e-07,0.000309746212889181,0.944126267398972,0.925364785782575,1,1,1
nominal,22,0.000100524761277402,0.0501606039581629,0.524761277402463,0.321207916325705,8.87407877550508e-07,0.000311757141973204,1.67938217769457,1.64886919499528,1,1,1
nominal,23,9.97718838973029e-05,0.0498183936984076,0.228116102697085,0.363212603184737,8.74149745614921e-07,0.000310550092070093,1.31786099984145,1.3012018485219,1,1,1
nominal,24,0.000100127081176733,0.0498088644644164,0.127081176733168,0.382271071167228,8.80625195150347e-07,0.000313718619732919,0.0871568933011874,0.0662297077697652,1,1,1
nominal,25,0.000100697863275326,0.0499999166864342,0.697863275325994,0.000166627131614749,8.90467850909654e-07,0.000310199906937537,0.0999131163277649,0.0810057565272098,1,1,1
nominal,26,0.000100260314687371,0.0498226124994272,0.260314687371155,0.354775001145669,8.82742061775187e-07,0.000312700791830316,0.782811597362655,0.75463251270638,1,1,1
nominal,27,9.96959886487571e-05,0.0500534860001813,0.304011351242861,0.106972000362515,8.72831498961545e-07,0.000315484571194428,0.63260605019826,0.598347652356082,1,1,1
nominal,28,0.000100318844354055,0.0499852891197325,0.318844354055203,0.0294217605349645,8.83760903978467e-07,0.000311764313663546,1.98205451318473,1.97417485954009,1,1,1
nominal,29,9.97368069450645e-05,0.0499097852839825,0.263193054935518,0.180429432035001,8.735806945886e-07,0.000312245981052159,0.361461975357066,0.340227661075967,1,1,1
nominal,30,0.00010012582884689,0.0497118323682804,0.125828846889608,0.576335263439187,8.80369008541668e-07,0.00031196931999711,2.44725410276721,2.41563121139438,1,1,1
nominal,31,0.000100439646191903,0.049841820735633,0.439646191903487,0.316358528734073,8.85905428063489e-07,0.000313097201663666,0.183581305783594,0.166718919955621,1,1,1
nominal,32,0.000100561306495579,0.0499568125049494,0.561306495578773,0.0863749901012234,8.88044324307798e-07,0.000309300878556107,0.384209135472576,0.351868480536633,1,1,1
nominal,33,0.000100026889223587,0.0497568217723631,0.0268892235871343,0.486356455273718,8.78632551439061e-07,0.000310550379875709,0.446363356542862,0.401967137043389,1,1,1
